Country,TIME,Value
Australia(Australian Dollar),2000,46315
Australia(Australian Dollar),2001,48397
Australia(Australian Dollar),2002,50226
Australia(Australian Dollar),2003,51848
Australia(Australian Dollar),2004,54110
Australia(Australian Dollar),2005,56017
Australia(Australian Dollar),2006,58621
Australia(Australian Dollar),2007,62009
Australia(Australian Dollar),2008,64539
Australia(Australian Dollar),2009,65641
Australia(Australian Dollar),2010,69160
Australia(Australian Dollar),2011,72962
Australia(Australian Dollar),2012,75616
Australia(Australian Dollar),2013,77133
Australia(Australian Dollar),2014,78966
Australia(Australian Dollar),2015,79148
Australia(Australian Dollar),2016,80070
United States(US Dollar),2000,51877
United States(US Dollar),2001,52428
United States(US Dollar),2002,52752
United States(US Dollar),2003,53321
United States(US Dollar),2004,54367
United States(US Dollar),2005,54432
United States(US Dollar),2006,55243
United States(US Dollar),2007,56439
United States(US Dollar),2008,56233
United States(US Dollar),2009,56610
United States(US Dollar),2010,57013
United States(US Dollar),2011,57176
United States(US Dollar),2012,57653
United States(US Dollar),2013,57369
United States(US Dollar),2014,58219
United States(US Dollar),2015,59691
United States(US Dollar),2016,60154
United Kingdom(Pound Sterling),2000,29775
United Kingdom(Pound Sterling),2001,31283
United Kingdom(Pound Sterling),2002,31789
United Kingdom(Pound Sterling),2003,32577
United Kingdom(Pound Sterling),2004,33376
United Kingdom(Pound Sterling),2005,33270
United Kingdom(Pound Sterling),2006,34094
United Kingdom(Pound Sterling),2007,35038
United Kingdom(Pound Sterling),2008,34143
United Kingdom(Pound Sterling),2009,34721
United Kingdom(Pound Sterling),2010,34630
United Kingdom(Pound Sterling),2011,33850
United Kingdom(Pound Sterling),2012,33740
United Kingdom(Pound Sterling),2013,33523
United Kingdom(Pound Sterling),2014,33380
United Kingdom(Pound Sterling),2015,33719
United Kingdom(Pound Sterling),2016,34142
France(Euro),2000,30815
France(Euro),2001,31106
France(Euro),2002,31918
France(Euro),2003,32219
France(Euro),2004,32769
France(Euro),2005,33171
France(Euro),2006,33552
France(Euro),2007,33619
France(Euro),2008,33574
France(Euro),2009,34609
France(Euro),2010,35259
France(Euro),2011,35212
France(Euro),2012,35414
France(Euro),2013,35705
France(Euro),2014,35829
France(Euro),2015,36349
France(Euro),2016,36809
