state_name,avg_value
Texas,19.12
Ohio,19.62
Georgia,18.55
Oregon,20.77
New York,22.23
New Mexico,19.74
Louisiana,18.09
Pennsylvania,19.81
Iowa,19.61
California,22.79
Alaska,23.78
Michigan,19.9
Alabama,17.17
Wisconsin,19.86
North Carolina,19.37
New Jersey,24.83
Maryland,21.33
West Virginia,18.72
Washington,21.81
Montana,20.22
North Dakota,20.82
Virginia,19.82
Illinois,20.3
Indiana,19.2
Idaho,19.43
Colorado,21.41
Kentucky,17.48
Florida,19.5
Missouri,18.63
Nevada,21.5
Wyoming,21.39
South Carolina,18.9
Tennessee,17.1
Delaware,20.55
Minnesota,20.48
Arkansas,17.14
Arizona,19.66
Nebraska,19.02
Mississippi,16.93
Hawaii,22.1
Kansas,18.82
Oklahoma,18.1
Utah,19.88
South Dakota,18.63
Maine,20.33
Massachusetts,24.78
Connecticut,25.02
Vermont,21.61
New Hampshire,23.61
